x,y
-2.473564951249444199e+00,-6.027327269014127742e-01
-2.457640654681056525e+00,-6.122232276806504059e-01
-2.441344036987771027e+00,-6.215289760061188939e-01
-2.424671956802463502e+00,-6.306474386695842815e-01
-2.407621085360526436e+00,-6.395761743985450831e-01
-2.390187898188851356e+00,-6.483128381008874674e-01
-2.372368666595211728e+00,-6.568551852225295029e-01
-2.354159448962688472e+00,-6.652010762178425241e-01
-2.335556081855139521e+00,-6.733484811318820595e-01
-2.316554170941155455e+00,-6.812954842926384202e-01
-2.297149081745732957e+00,-6.890402891104947525e-01
-2.277335930240752759e+00,-6.965812229810174339e-01
-2.257109573287657600e+00,-7.039167422858703116e-01
-2.236464598948136651e+00,-7.110454374852861470e-01
-2.215395316681521898e+00,-7.179660382938866103e-01
-2.193895747450711475e+00,-7.246774189298541557e-01
-2.171959613762082686e+00,-7.311786034254916800e-01
-2.149580329668776546e+00,-7.374687709849715445e-01
-2.126750990771328453e+00,-7.435472613726732405e-01
-2.103464364254525432e+00,-7.494135803127953688e-01
-2.079712879005079174e+00,-7.550674048780361414e-01
-2.055488615860848078e+00,-7.605085888419083062e-01
-2.030783298049345209e+00,-7.657371679658069308e-01
-2.005588281880962498e+00,-7.707533651881534054e-01
-1.979894547770811419e+00,-7.755575956789785286e-01
-1.953692691672700210e+00,-7.801504717188449956e-01
-1.926972917018983100e+00,-7.845328073565538407e-01
-1.899725027271766731e+00,-7.887056227950479670e-01
-1.871938419203455162e+00,-7.926701484498852590e-01
-1.843602077038638098e+00,-7.964278286192382206e-01
-1.814704567604557450e+00,-7.999803246988372862e-01
-1.785234036654083756e+00,-8.033295178695866179e-01
-1.755178206543302144e+00,-8.064775111798041518e-01
-1.724524375465666726e+00,-8.094266309383362223e-01
-1.693259418466078525e+00,-8.121794273291302879e-01
-1.661369790481503017e+00,-8.147386741525376452e-01
-1.628841531679662724e+00,-8.171073675936392222e-01
-1.595660275394149563e+00,-8.192887239135667743e-01
-1.561811258982887640e+00,-8.212861759562839481e-01
-1.527279337967143213e+00,-8.231033683608545148e-01
-1.492049003840276500e+00,-8.247441513682476355e-01
-1.456104405968917437e+00,-8.262125731124100314e-01
-1.419429378043927548e+00,-8.275128702882494913e-01
-1.382007469574231484e+00,-8.286494570946135729e-01
-1.343821982952771998e+00,-8.296269123588871919e-01
-1.304856016659968310e+00,-8.304499647619716374e-01
-1.265092515205507251e+00,-8.311234760987651349e-01
-1.224514326442908141e+00,-8.316524225303802975e-01
-1.183104266922453185e+00,-8.320418738108635859e-01
-1.140845195974854231e+00,-8.322969705037924770e-01
-1.097720099239340774e+00,-8.324228992433171381e-01
-1.053712182363695016e+00,-8.324248661405957428e-01
-1.008804975607647370e+00,-8.323080684905295179e-01
-9.629824500730901349e-01,-8.320776649955847759e-01
-9.162291462613602055e-01,-8.317387447932218514e-01
-8.685303156165251615e-01,-8.312962956509856172e-01
-8.198720756507398288e-01,-8.307551717778228761e-01
-7.702415791594868777e-01,-8.301200617908073287e-01
-7.196271979170322242e-01,-8.293954574713299222e-01
-6.680187210917296614e-01,-8.285856240416618057e-01
-6.154075684331430374e-01,-8.276945727884315041e-01
-5.617870180543151903e-01,-8.267260369499580541e-01
-5.071524483604511468e-01,-8.256834518642324205e-01
-4.515015933568896633e-01,-8.245699404378709074e-01
-3.948348102040253327e-01,-8.233883050359669387e-01
-3.371553574752734761e-01,-8.221410269004820748e-01
-2.784696821189990290e-01,-8.208302741713819906e-01
-2.187877126320902921e-01,-8.194579195004061400e-01
-1.581231554300279729e-01,-8.180255681020618397e-01
-9.649379085806386591e-02,-8.165345968703336954e-01
-3.392176474660280050e-02,-8.149862048936140635e-01
2.956612910881539769e-02,-8.133814753172097234e-01
9.393818064169634496e-02,-8.117214480274406174e-01
1.591575148895094660e-01,-8.100072020627793190e-01
2.251818688605369267e-01,-8.082399459985893930e-01
2.919633998725919000e-01,-8.064211138119268263e-01
3.594485313419035766e-01,-8.045524629262357230e-01
4.275778417974755996e-01,-8.026361702848121560e-01
4.962860024637343326e-01,-8.006749214350579180e-01
5.655017680725622498e-01,-7.986719867581795196e-01
6.351480246253923267e-01,-7.966312781915683150e-01
7.051418966312875680e-01,-7.945573791079969528e-01
7.753949149194634405e-01,-7.924555394828525223e-01
